skill,description
python,Programming language used for data analysis and machine learning
data preprocessing,Techniques for cleaning and preparing data before training models
machine learning,Algorithms that learn patterns from data to make predictions
deep learning,Advanced machine learning using neural networks with multiple layers
neural networks,Computational models inspired by the human brain used in deep learning
ai/ml,This skill involves ai/ml
amazon api gateway,This skill involves amazon api gateway
amazon elastic kubernetes,This skill involves amazon elastic kubernetes
amazon s3,This skill involves amazon s3
amazon web services basics,This skill involves amazon web services basics
angular cli,This skill involves angular cli
angular components,This skill involves angular components
apache airflow,This skill involves apache airflow
apache avro,This skill involves apache avro
apache hadoop,This skill involves apache hadoop
apache hive,This skill involves apache hive
apache impala,This skill involves apache impala
apache jmeter,This skill involves apache jmeter
apache kafka,This skill involves apache kafka
apache spark,This skill involves apache spark
api development,This skill involves api development
api endpoints,This skill involves api endpoints
api fluency,This skill involves api fluency
api fluency testing,This skill involves api fluency testing
api gateway,This skill involves api gateway
api requests,This skill involves api requests
api security,This skill involves api security
api testing,This skill involves api testing
application monitoring with azure,This skill involves application monitoring with azure
application programming interfaces (api),This skill involves application programming interfaces (api)
architecting on aws,This skill involves architecting on aws
arrays in javascript,This skill involves arrays in javascript
asynchronous javascript,This skill involves asynchronous javascript
automated machine learning,This skill involves automated machine learning
automated machine learning (automl),This skill involves automated machine learning (automl)
automating system administration tasks with python,This skill involves automating system administration tasks with python
aws,This skill involves aws
aws autoscaling,This skill involves aws autoscaling
aws availability zones,This skill involves aws availability zones
aws certification preparation,This skill involves aws certification preparation
aws cli,This skill involves aws cli
aws cloud,This skill involves aws cloud
aws codepipeline,This skill involves aws codepipeline
aws config,This skill involves aws config
aws cost explorer,This skill involves aws cost explorer
aws data lakes,This skill involves aws data lakes
aws database services,This skill involves aws database services
aws elastic beanstalk,This skill involves aws elastic beanstalk
aws glue,This skill involves aws glue
aws iam,This skill involves aws iam
aws identity and access management,This skill involves aws identity and access management
aws key management service,This skill involves aws key management service
aws lambda,This skill involves aws lambda
aws management console,This skill involves aws management console
aws security,This skill involves aws security
azure app service,This skill involves azure app service
azure automation,This skill involves azure automation
azure blob storage,This skill involves azure blob storage
azure cognitive search,This skill involves azure cognitive search
azure cognitive search data import,This skill involves azure cognitive search data import
azure cognitive search indexers,This skill involves azure cognitive search indexers
azure cognitive search queries,This skill involves azure cognitive search queries
azure cognitive services,This skill involves azure cognitive services
azure compute service,This skill involves azure compute service
azure conversational ai agents,This skill involves azure conversational ai agents
azure data factory,This skill involves azure data factory
azure data services,This skill involves azure data services
azure defender,This skill involves azure defender
azure event grid,This skill involves azure event grid
azure form recognizer,This skill involves azure form recognizer
azure functions,This skill involves azure functions
azure key vault,This skill involves azure key vault
azure kubernetes service,This skill involves azure kubernetes service
azure log analytics,This skill involves azure log analytics
azure logic apps,This skill involves azure logic apps
azure ml pipelines,This skill involves azure ml pipelines
azure ml platform,This skill involves azure ml platform
azure ml sdk,This skill involves azure ml sdk
azure ml user management,This skill involves azure ml user management
azure monitor,This skill involves azure monitor
azure pipelines,This skill involves azure pipelines
azure portal,This skill involves azure portal
azure pricing calculator,This skill involves azure pricing calculator
azure resource groups,This skill involves azure resource groups
azure resource manager,This skill involves azure resource manager
azure security center,This skill involves azure security center
azure synapse analytics,This skill involves azure synapse analytics
bash (unix shell),This skill involves bash (unix shell)
bash scripting,This skill involves bash scripting
basic python data structures,This skill involves basic python data structures
basic python syntax,This skill involves basic python syntax
basic react,This skill involves basic react
bigquery,This skill involves bigquery
built-in python functions,This skill involves built-in python functions
c sharp (c#) (programming language),This skill involves c sharp (c#) (programming language)
c# coding,This skill involves c# coding
c++,This skill involves c++
c++ (programming language),This skill involves c++ (programming language)
c++ code optimization,This skill involves c++ code optimization
c++ copy and move semantics,This skill involves c++ copy and move semantics
c++ data types,This skill involves c++ data types
c++ functions,This skill involves c++ functions
c++ libraries,This skill involves c++ libraries
c++ polymorphism,This skill involves c++ polymorphism
c++ syntax,This skill involves c++ syntax
c++11,This skill involves c++11
c/c++,This skill involves c/c++
cascading style sheets (css),This skill involves cascading style sheets (css)
cassandra,This skill involves cassandra
ci/cd,This skill involves ci/cd
cloud api,This skill involves cloud api
cloud security in aws,This skill involves cloud security in aws
cloud security in azure,This skill involves cloud security in azure
cloud sql,This skill involves cloud sql
cloud-based machine learning,This skill involves cloud-based machine learning
computer vision,This skill involves computer vision
computer vision fluency,This skill involves computer vision fluency
confluent kafka python client,This skill involves confluent kafka python client
continuous integration and continuous deployment (ci/cd),This skill involves continuous integration and continuous deployment (ci/cd)
